student_id,student_name,student_address,student_branch,subject_id,subject_professor_id,professor_id,professor_name,subject,score_id,score_student_id,score_subject_id,marks,score_exam_id,exam_id,exam_name,exam_marks
9859, Zirk, Cameroon, computer science, 1479, 6438, 890, honours degree, social sudies, 2500, 8031, 9723, 3, 1021, 6325, economics, 71
3597, Lmsurkreso, Ethiopia, economics, 5108, 8826, 4303, masters's degree, foreign language, 6632, 9028, 8194, 100, 5108, 7424, medicine, 31
6061, Rkresoham, Guinea, natural science, 5320, 4161, 7308, doctoral degree, medicine, 6529, 1800, 9035, 48, 2640, 961, economics, 6
7343, Kukazi, Ghana, natural science, 6702, 3967, 6227, masters's degree, programming, 9996, 8010, 9767, 13, 9100, 4673, physics, 66
2534, Sasokuka, Egypt, natural science, 706, 2530, 6989, masters's degree, programming, 7289, 8384, 5358, 53, 5493, 9138, biology, 50
5789, Sosese, Egypt, computer science, 1974, 6752, 8533, masters's degree, biology, 7696, 8169, 3749, 75, 566, 3953, databases, 17
6319, So, Cameroon, computer science, 5108, 6247, 6041, doctoral degree, foreign language, 598, 9109, 2788, 96, 6196, 4670, programming, 86
8716, Lmzi, Cameroon, computer science, 6195, 2777, 5242, honours degree, differential eq., 5832, 9731, 109, 14, 5639, 3798, social sudies, 76
397, Sesaresa, Libiya, natural science, 5465, 8806, 3838, masters's degree, foreign language, 7017, 1748, 4109, 75, 91, 3130, social sudies, 90
2417, Sek, Ethiopia, engineering, 6708, 3904, 9640, honours degree, databases, 9417, 1497, 8077, 24, 3596, 1892, physics, 71
1305, Lmse, Libiya, economics, 7920, 4602, 5221, doctoral degree, graph theory, 8057, 5550, 294, 92, 2175, 2989, databases, 17
7082, Me, Kenya, foreign languages, 3435, 616, 6428, masters's degree, programming, 1930, 2768, 3215, 89, 7702, 7417, medicine, 14
3439, Me, Burundi, natural science, 7007, 1439, 9323, masters's degree, math, 7687, 3209, 107, 32, 9555, 5502, social sudies, 84
862, Remeke, Ethiopia, economics, 4510, 7075, 7101, doctoral degree, medicine, 9642, 2199, 7512, 56, 7264, 5962, graph theory, 89
672, Re, Central African Republic, computer science, 7653, 9796, 2615, masters's degree, economics, 6542, 1876, 9665, 9, 3462, 7439, biology, 10
5461, Skku, Guinea, computer science, 8189, 6044, 7692, doctoral degree, programming, 1940, 6121, 6346, 16, 9800, 3882, economics, 52
2596, Skse, Ethiopia, economics, 2036, 9574, 5690, doctoral degree, social sudies, 4616, 5084, 7714, 64, 632, 4812, prob. theory, 71
4959, Sasukaso, Central African Republic, foreign languages, 1673, 5692, 5095, honours degree, math, 9079, 1387, 6668, 11, 8739, 9738, differential eq., 5
8887, Kerehamlm, Mozambique, engineering, 6283, 6366, 8234, masters's degree, differential eq., 5641, 7490, 7463, 63, 5280, 9323, differential eq., 58
6998, Kasuhamlo, Ghana, engineering, 9303, 6831, 8727, honours degree, differential eq., 9387, 8704, 6953, 12, 6707, 3616, economics, 24
7407, Sekkusk, Egypt, natural science, 9284, 3266, 3922, masters's degree, economics, 3273, 2965, 9384, 24, 6273, 2903, math, 91
5804, Rerkselo, Egypt, foreign languages, 9196, 3863, 7308, doctoral degree, biology, 6249, 5170, 527, 20, 1663, 386, physics, 7
6013, Lo, Guinea, engineering, 4507, 2552, 1436, honours degree, databases, 2122, 3418, 2289, 88, 4014, 8158, differential eq., 8
2417, Kuskmeso, Mozambique, computer science, 8264, 8745, 1950, honours degree, foreign language, 5603, 2531, 5984, 58, 1376, 8079, graph theory, 10
4112, Zikerkselo, Guinea, natural science, 1716, 4194, 6928, masters's degree, programming, 2423, 3316, 5673, 78, 9795, 1319, math, 79
9655, Meseskko, Guinea, engineering, 423, 4527, 4974, masters's degree, databases, 2183, 9373, 1414, 100, 871, 4142, economics, 63
8160, Zihamkesese, Guinea, foreign languages, 3532, 6883, 1649, masters's degree, prob. theory, 2108, 5751, 4600, 4, 998, 4596, economics, 10
4480, Se, Guinea, economics, 3137, 3457, 8451, honours degree, math, 334, 6144, 7268, 68, 4933, 2041, foreign language, 65
4609, Kalosulork, Egypt, foreign languages, 9940, 9534, 6726, honours degree, biology, 4686, 4949, 8071, 61, 1120, 6134, math, 96
2519, Loko, Ghana, natural science, 6025, 1512, 4215, honours degree, medicine, 9927, 8441, 1711, 11, 650, 5863, physics, 79
472, Ku, Mozambique, computer science, 3137, 6435, 6318, doctoral degree, economics, 6640, 1926, 5421, 28, 4022, 3994, databases, 60
9830, Sare, Congo, natural science, 43, 4321, 5833, honours degree, foreign language, 5639, 8075, 1898, 77, 2603, 1836, biology, 15
9930, Memesuka, Cameroon, computer science, 1262, 6767, 5788, masters's degree, physics, 1828, 3498, 6426, 14, 5714, 3807, math, 91
8899, Sa, Ghana, economics, 1233, 6163, 7982, honours degree, medicine, 4194, 6368, 513, 85, 3392, 5250, physics, 69
8269, Rk, Burundi, computer science, 6747, 5047, 2356, honours degree, social sudies, 2993, 1659, 2081, 82, 9526, 8515, prob. theory, 38
6019, Losa, Central African Republic, engineering, 9727, 3416, 1457, honours degree, programming, 4531, 6051, 1375, 93, 4940, 7477, foreign language, 62
8194, Ka, Guinea, natural science, 9208, 8786, 8756, honours degree, economics, 1596, 9559, 1979, 3, 8953, 33, programming, 54
6315, Rk, Libiya, natural science, 2710, 5286, 7361, honours degree, databases, 1381, 8905, 688, 48, 6209, 9423, economics, 86
4157, Seklm, Burundi, computer science, 9376, 2540, 3936, honours degree, social sudies, 2841, 6811, 7342, 49, 4695, 9469, medicine, 35
4682, Ka, Ghana, engineering, 2534, 88, 6726, honours degree, differential eq., 4526, 3763, 2777, 17, 358, 2115, databases, 82
1702, Ko, Congo, engineering, 4279, 5253, 235, masters's degree, economics, 6158, 9122, 1437, 65, 9565, 3948, databases, 23
8993, Rklmme, Libiya, computer science, 8548, 6944, 9335, honours degree, graph theory, 4444, 9910, 5085, 42, 8022, 7122, biology, 43
4859, Kesa, Burundi, engineering, 5563, 9564, 2973, honours degree, databases, 5817, 3340, 2865, 8, 2870, 6399, physics, 53
7954, Kesk, Kenya, engineering, 9141, 3476, 2148, doctoral degree, math, 5575, 6116, 3951, 92, 9799, 7751, medicine, 96
8457, Lokulo, Libiya, foreign languages, 1230, 9574, 1952, doctoral degree, prob. theory, 5357, 6076, 7849, 31, 7288, 6111, databases, 79
3495, Lmlokoloko, Congo, foreign languages, 4020, 4879, 1369, honours degree, prob. theory, 9866, 1968, 3390, 24, 6912, 5316, medicine, 61
5335, Rerk, Libiya, engineering, 9757, 19, 4869, masters's degree, differential eq., 6650, 9215, 7243, 39, 7008, 7809, foreign language, 57
6944, Sulmsuka, Mozambique, computer science, 8839, 3037, 2078, doctoral degree, programming, 5196, 9133, 227, 17, 8885, 8854, economics, 86
224, Skkuresuse, Kenya, foreign languages, 7566, 813, 1265, doctoral degree, foreign language, 2970, 8868, 6363, 82, 2433, 7680, graph theory, 33
104, Losukome, Libiya, computer science, 3765, 3890, 6502, honours degree, physics, 5664, 6883, 1069, 21, 5954, 4566, math, 87
3937, Sesu, Ghana, engineering, 7139, 2259, 7235, honours degree, math, 3825, 3469, 8712, 4, 1567, 8793, foreign language, 56
7910, Lmkesksoka, Burundi, computer science, 4901, 8975, 4934, doctoral degree, biology, 9535, 3397, 2048, 36, 8165, 7577, programming, 67
1711, Rkskreseham, Egypt, engineering, 558, 1611, 9878, masters's degree, differential eq., 6694, 9149, 4515, 4, 9121, 2198, prob. theory, 38
5179, Se, Ghana, engineering, 423, 5110, 3354, honours degree, databases, 292, 5886, 1842, 100, 6537, 101, math, 36
5608, Sklmrksu, Mozambique, economics, 9719, 6845, 6310, doctoral degree, graph theory, 6386, 106, 5894, 63, 5009, 4781, differential eq., 94
6954, Ko, Egypt, economics, 7672, 8757, 962, honours degree, prob. theory, 5728, 4830, 4005, 95, 6585, 7565, economics, 78
4372, Rk, Kenya, foreign languages, 1921, 130, 5573, honours degree, medicine, 4466, 1907, 9322, 95, 5047, 4905, differential eq., 60
4563, Sorkka, Libiya, engineering, 9784, 5057, 4527, honours degree, prob. theory, 1380, 1274, 8711, 11, 3858, 5436, social sudies, 82
8195, Keham, Egypt, computer science, 4936, 161, 4890, doctoral degree, medicine, 4142, 2977, 8196, 39, 892, 9949, biology, 28
5235, Rk, Congo, foreign languages, 8164, 4306, 2152, masters's degree, prob. theory, 6445, 7141, 7346, 15, 3236, 2111, differential eq., 49
1311, Rezizire, Guinea, computer science, 686, 8989, 6592, doctoral degree, graph theory, 2158, 2336, 3487, 31, 2456, 8302, differential eq., 19
1196, Kokesososu, Libiya, economics, 7938, 4972, 7597, doctoral degree, differential eq., 2254, 8406, 8207, 4, 7934, 7532, economics, 34
4605, Sksa, Libiya, computer science, 4707, 5008, 1625, masters's degree, medicine, 980, 2696, 7875, 80, 4552, 8258, medicine, 87
8819, Ham, Libiya, foreign languages, 3426, 6193, 864, doctoral degree, economics, 517, 2559, 9637, 21, 8139, 4003, databases, 8
38, Sare, Ghana, computer science, 8236, 1904, 5268, doctoral degree, biology, 7168, 2220, 1415, 100, 2780, 1322, programming, 40
3162, Hamrk, Mozambique, computer science, 5083, 4571, 3043, masters's degree, programming, 3079, 1892, 9827, 77, 8237, 3907, medicine, 77
3136, Ham, Burundi, engineering, 3812, 8962, 2657, honours degree, biology, 8132, 8813, 8940, 54, 8884, 2067, foreign language, 98
5979, Korkrekezi, Libiya, natural science, 2927, 3792, 5386, doctoral degree, foreign language, 1431, 2315, 8306, 44, 2053, 5348, biology, 2
7998, Sekke, Ethiopia, foreign languages, 3583, 6392, 5280, masters's degree, economics, 4245, 4232, 7135, 26, 5783, 6803, medicine, 11
5376, Ke, Kenya, economics, 452, 6411, 255, doctoral degree, graph theory, 8975, 7948, 9303, 44, 2814, 9946, social sudies, 58
1508, Lo, Cameroon, economics, 9625, 9320, 7161, honours degree, medicine, 3865, 1182, 9044, 35, 4700, 7460, math, 17
326, Zisek, Ethiopia, computer science, 8541, 119, 2054, masters's degree, databases, 5965, 4362, 9394, 79, 2980, 2184, foreign language, 72
5663, Resek, Guinea, natural science, 6384, 2154, 7089, honours degree, physics, 2566, 1508, 9836, 75, 8464, 6932, programming, 78
155, Sk, Libiya, engineering, 922, 5865, 8154, doctoral degree, economics, 5191, 3307, 9942, 100, 2251, 7445, biology, 98
8696, Skhamrkre, Kenya, engineering, 2605, 3844, 8711, honours degree, math, 4879, 3185, 6210, 74, 7228, 5707, math, 31
520, Lolo, Mozambique, economics, 5290, 7870, 8647, masters's degree, social sudies, 8574, 838, 3560, 90, 8711, 394, graph theory, 29
9025, Zimeseksekke, Central African Republic, natural science, 1070, 5001, 6535, doctoral degree, differential eq., 9339, 543, 6594, 28, 4998, 1826, prob. theory, 79
6411, Sakose, Cameroon, economics, 1496, 1065, 8743, honours degree, math, 6706, 940, 2819, 99, 6349, 4156, economics, 94
1233, Melmre, Mozambique, computer science, 2535, 8834, 4960, doctoral degree, economics, 9212, 9960, 9388, 17, 8335, 3580, foreign language, 18
4515, Kemesosalm, Egypt, computer science, 2465, 5967, 4915, doctoral degree, physics, 4613, 2724, 8387, 74, 1472, 7836, differential eq., 66
2000, Mesekkolmse, Ethiopia, computer science, 7031, 8721, 3178, doctoral degree, physics, 1014, 5582, 6998, 47, 6812, 9430, foreign language, 79
4516, Melm, Central African Republic, foreign languages, 9272, 8170, 5521, honours degree, prob. theory, 7426, 445, 2440, 43, 9803, 6500, programming, 18
1328, Kuhamsasako, Libiya, economics, 5421, 6013, 7822, masters's degree, foreign language, 8946, 9495, 3088, 43, 2586, 1104, social sudies, 53
6168, Rkrese, Kenya, foreign languages, 9802, 5492, 1095, masters's degree, math, 4234, 182, 7577, 32, 3889, 3484, databases, 20
9417, Solokezi, Mozambique, engineering, 5703, 8561, 9981, masters's degree, prob. theory, 1440, 8414, 9114, 56, 312, 2603, databases, 92
7336, Lokesekrelo, Guinea, natural science, 3977, 2310, 1768, masters's degree, economics, 1987, 6517, 5020, 44, 9909, 515, physics, 87
9548, Lmsekko, Mozambique, computer science, 2141, 3661, 1551, doctoral degree, physics, 4967, 6905, 297, 34, 1200, 4119, math, 67
4446, Sukuke, Guinea, engineering, 3582, 6191, 35, doctoral degree, databases, 2580, 1410, 1079, 53, 3493, 7181, social sudies, 81
7878, Sosa, Ghana, computer science, 2444, 2769, 4804, masters's degree, social sudies, 4400, 7196, 8481, 42, 4615, 5230, differential eq., 74
1299, Sklmsekskham, Ghana, computer science, 7854, 6777, 3123, doctoral degree, foreign language, 3991, 172, 7086, 27, 2646, 1034, graph theory, 49
7958, Sure, Kenya, engineering, 1688, 495, 447, honours degree, prob. theory, 5039, 2389, 7476, 37, 225, 2857, prob. theory, 88
7556, Sekku, Burundi, foreign languages, 8243, 5867, 2366, doctoral degree, prob. theory, 9242, 6457, 5392, 33, 3325, 2237, graph theory, 24
8813, Sohamresusk, Ghana, engineering, 4412, 89, 9109, doctoral degree, differential eq., 8091, 4844, 3154, 70, 4476, 2855, graph theory, 75
5577, Rk, Mozambique, foreign languages, 3806, 5630, 7558, honours degree, prob. theory, 9988, 2670, 6836, 19, 1681, 2957, economics, 85
8273, Sususazirk, Kenya, economics, 2089, 4813, 6286, honours degree, programming, 784, 8964, 6109, 67, 6067, 445, physics, 45
8910, Kusesek, Cameroon, natural science, 1042, 1862, 3941, masters's degree, programming, 7996, 1222, 220, 8, 4684, 6704, physics, 62
4430, Hamku, Cameroon, foreign languages, 6533, 8204, 8499, masters's degree, biology, 9029, 9048, 4355, 72, 14, 8514, social sudies, 61
3323, Soseksesek, Libiya, natural science, 943, 7951, 7836, honours degree, prob. theory, 504, 4795, 3605, 76, 902, 8643, databases, 66
5923, Sksklmham, Mozambique, computer science, 3656, 911, 4163, honours degree, economics, 8668, 5512, 937, 81, 5595, 8122, databases, 81
1834, Suhamsksosu, Mozambique, engineering, 4664, 7134, 1855, doctoral degree, biology, 3355, 5161, 6350, 22, 1356, 7371, physics, 12
7377, Suzikusk, Congo, computer science, 4839, 7269, 8785, doctoral degree, prob. theory, 395, 3053, 7511, 64, 356, 6653, physics, 12
5778, Rksekham, Central African Republic, economics, 2208, 9564, 2968, masters's degree, differential eq., 5729, 5626, 2809, 58, 7080, 6768, graph theory, 49
7839, Kozizisa, Central African Republic, engineering, 5324, 2833, 8930, masters's degree, social sudies, 5510, 760, 5880, 4, 9569, 2635, economics, 81
5796, Sksk, Egypt, economics, 3138, 3286, 1674, doctoral degree, databases, 7847, 8108, 3107, 96, 3986, 1439, social sudies, 99
3552, Kerksoko, Egypt, economics, 9303, 8619, 2035, honours degree, prob. theory, 8590, 3923, 1176, 2, 6105, 7998, economics, 95
8442, Meloku, Burundi, foreign languages, 7720, 7979, 9955, masters's degree, graph theory, 846, 2109, 8102, 45, 8790, 8125, math, 42
3342, Koskloka, Ghana, engineering, 9444, 9494, 4094, masters's degree, medicine, 8600, 1095, 8663, 1, 7782, 7817, physics, 82
6361, Sakurksasu, Ghana, engineering, 4590, 2628, 3444, doctoral degree, foreign language, 8881, 3247, 9393, 98, 6851, 4382, biology, 97
9433, Hamsekre, Central African Republic, foreign languages, 6141, 5725, 41, honours degree, prob. theory, 7547, 6191, 1251, 64, 6723, 6450, social sudies, 8
7171, Ka, Ghana, natural science, 7126, 1311, 5954, honours degree, physics, 831, 5153, 8927, 70, 4659, 5578, social sudies, 15
4705, Koke, Ethiopia, engineering, 1353, 2202, 8266, honours degree, economics, 1126, 978, 66, 97, 9465, 5171, economics, 87
5088, Kukasekskre, Congo, natural science, 5084, 5969, 3188, masters's degree, economics, 4201, 6719, 7201, 44, 9292, 4142, medicine, 56
2590, Lozilo, Libiya, foreign languages, 8343, 8087, 1225, masters's degree, math, 5998, 1695, 8081, 56, 3778, 6124, programming, 72
3273, Hamkezi, Ghana, foreign languages, 8773, 903, 3320, doctoral degree, economics, 225, 2285, 2916, 43, 5684, 3061, prob. theory, 81
1192, Meko, Ghana, economics, 7429, 6564, 3518, doctoral degree, databases, 3337, 1292, 2725, 8, 9324, 9491, prob. theory, 58
2460, Kaskhamhamham, Congo, economics, 9416, 1230, 7833, doctoral degree, physics, 5053, 3303, 3666, 99, 2806, 4206, math, 18
9248, Lmkasomezi, Burundi, computer science, 2124, 9245, 245, honours degree, math, 2082, 8500, 810, 31, 1035, 6402, economics, 66
6662, Ku, Burundi, natural science, 5229, 6027, 4874, masters's degree, differential eq., 1836, 1967, 4555, 99, 4632, 1369, math, 78
2144, Sukukore, Burundi, computer science, 5326, 7222, 5123, honours degree, databases, 5446, 4823, 9927, 93, 6940, 9565, graph theory, 45
1454, Rk, Congo, economics, 6792, 2916, 1003, masters's degree, social sudies, 8670, 6983, 9154, 10, 5961, 8463, biology, 40
2168, Zilosame, Central African Republic, foreign languages, 8534, 4903, 3618, masters's degree, foreign language, 1398, 2378, 5175, 88, 43, 5228, programming, 66
3310, Loselosaham, Mozambique, foreign languages, 5582, 3992, 2184, doctoral degree, databases, 1105, 1522, 3983, 43, 4048, 5574, biology, 79
8075, Kosk, Guinea, foreign languages, 2349, 2978, 3249, honours degree, social sudies, 1800, 8193, 6486, 95, 9709, 1869, economics, 65
3663, Ham, Guinea, computer science, 9764, 6136, 5078, honours degree, medicine, 4394, 8851, 4853, 32, 4269, 3035, differential eq., 24
6630, Rklmrk, Egypt, economics, 848, 8774, 6461, honours degree, differential eq., 7130, 4966, 7590, 45, 5724, 6795, social sudies, 2
8992, Resasesurk, Central African Republic, economics, 3669, 9387, 8189, doctoral degree, biology, 7828, 3973, 7785, 12, 5408, 317, economics, 16
19, Kukesoke, Congo, foreign languages, 2785, 7364, 210, honours degree, programming, 5087, 1397, 7, 93, 7211, 3246, graph theory, 29
4716, Rkhamsksa, Ethiopia, engineering, 8127, 5223, 8179, doctoral degree, social sudies, 3982, 1217, 6045, 100, 1108, 2580, graph theory, 30
6473, Sokelmsuham, Central African Republic, engineering, 1128, 9712, 9295, doctoral degree, databases, 3003, 4669, 3859, 62, 369, 4776, prob. theory, 65
5651, Zimelore, Kenya, computer science, 7294, 7578, 6377, honours degree, biology, 3716, 4098, 6736, 12, 2005, 3406, medicine, 22
8018, Kamesekku, Libiya, computer science, 353, 3418, 4104, masters's degree, foreign language, 6581, 6091, 4303, 14, 3452, 7182, physics, 27
4623, Lome, Central African Republic, natural science, 3960, 7863, 1079, doctoral degree, physics, 3188, 3390, 7478, 54, 5698, 5668, economics, 85
1736, Reko, Burundi, computer science, 3711, 1851, 2417, masters's degree, foreign language, 9747, 4309, 6021, 97, 9098, 8705, foreign language, 77
8824, Sek, Cameroon, natural science, 6725, 5667, 2268, honours degree, foreign language, 442, 523, 98, 69, 9302, 8618, physics, 31
3452, Zirkzime, Mozambique, engineering, 2649, 9746, 8568, masters's degree, social sudies, 767, 5767, 3863, 30, 8554, 3073, prob. theory, 35
2062, Skmekasekke, Congo, natural science, 1631, 2619, 8169, honours degree, differential eq., 6533, 3825, 2023, 36, 7378, 8913, math, 81
5695, Sklokukelm, Congo, engineering, 9756, 5349, 9586, masters's degree, physics, 136, 6148, 3220, 2, 3840, 8487, social sudies, 95
705, So, Central African Republic, foreign languages, 8348, 6476, 8626, honours degree, prob. theory, 3795, 1479, 919, 43, 3965, 350, differential eq., 28
8316, Mezisask, Congo, natural science, 9046, 7628, 1106, doctoral degree, programming, 2784, 6605, 5637, 3, 8887, 5882, biology, 59
4660, Sarkreham, Congo, computer science, 7097, 7049, 7462, honours degree, physics, 3221, 1363, 1837, 85, 7748, 6864, differential eq., 76
8593, Kekaloreke, Congo, engineering, 7874, 6370, 3915, doctoral degree, prob. theory, 345, 5486, 10, 83, 3531, 776, biology, 50
3883, Lmsokelm, Ethiopia, economics, 1009, 3561, 1304, doctoral degree, math, 151, 383, 6154, 79, 5128, 74, differential eq., 49
3596, Kekokakesa, Guinea, computer science, 7986, 5238, 5584, doctoral degree, databases, 2596, 673, 7390, 25, 688, 8995, biology, 87
9990, Sekkoskrkke, Libiya, engineering, 7490, 7893, 5819, honours degree, medicine, 2974, 5205, 5533, 49, 8534, 4938, foreign language, 60
7665, Mesoka, Libiya, engineering, 8567, 5384, 3989, honours degree, economics, 5256, 8061, 6585, 13, 8331, 3299, physics, 35
6610, Keseksase, Cameroon, computer science, 7156, 1533, 8797, doctoral degree, graph theory, 986, 8648, 2574, 34, 188, 8755, prob. theory, 77
6354, Sekkaseksaku, Guinea, engineering, 7793, 3241, 9046, doctoral degree, graph theory, 2727, 7879, 1851, 35, 7126, 1834, databases, 46
6755, Some, Congo, computer science, 4345, 6521, 4743, honours degree, economics, 7395, 9006, 4771, 24, 1575, 6045, social sudies, 84
1147, Sklmsk, Central African Republic, natural science, 7209, 3518, 6886, honours degree, programming, 5404, 5695, 4575, 83, 6649, 603, medicine, 98
3902, Lm, Ethiopia, engineering, 7156, 2853, 4740, masters's degree, social sudies, 3467, 7617, 212, 44, 3540, 8777, social sudies, 84
6380, Sumeku, Burundi, engineering, 2706, 5415, 4134, honours degree, databases, 6409, 45, 6121, 75, 2962, 5333, programming, 59
9883, Kasek, Burundi, engineering, 229, 9512, 7113, masters's degree, databases, 4877, 4137, 5305, 66, 5990, 1925, differential eq., 32
8092, Hamseku, Congo, engineering, 3759, 4381, 7132, doctoral degree, economics, 3413, 2765, 2711, 87, 5389, 4514, foreign language, 50
7563, Sehamso, Central African Republic, economics, 4271, 9017, 3932, masters's degree, databases, 6380, 3175, 342, 49, 1117, 1387, programming, 76
8167, Kasosu, Burundi, computer science, 6048, 6142, 6365, honours degree, foreign language, 4626, 5236, 1187, 71, 1407, 9344, math, 10
7935, Skse, Kenya, computer science, 5401, 9257, 6335, masters's degree, physics, 5020, 6802, 9557, 76, 5272, 8374, prob. theory, 91
1858, Sasome, Guinea, engineering, 4138, 7316, 6789, masters's degree, math, 1309, 7431, 3569, 20, 8908, 1107, graph theory, 46
8058, Sa, Guinea, computer science, 8877, 280, 3497, honours degree, medicine, 8160, 4080, 2352, 79, 6902, 9326, programming, 36
8762, Sekrk, Ghana, foreign languages, 4143, 1093, 7945, masters's degree, math, 7990, 8108, 1258, 38, 7722, 4922, databases, 70
1927, Kesekoseham, Ghana, computer science, 8041, 2798, 7690, honours degree, graph theory, 1789, 1594, 1114, 42, 1296, 5278, economics, 25
3300, Sek, Cameroon, engineering, 2126, 8101, 6967, doctoral degree, prob. theory, 3806, 2491, 1338, 67, 5979, 1077, social sudies, 34
1544, Rkkuloham, Libiya, natural science, 123, 8240, 4324, honours degree, biology, 1689, 6796, 7561, 69, 2032, 5091, physics, 4
3363, Lo, Ghana, computer science, 8440, 6253, 2723, honours degree, graph theory, 5672, 4761, 5044, 45, 2277, 8819, medicine, 54
3082, Suhamkesuko, Egypt, economics, 6186, 5953, 873, honours degree, graph theory, 3351, 7901, 186, 79, 9509, 3858, medicine, 12
3677, Kasu, Kenya, engineering, 7889, 399, 3942, doctoral degree, math, 4297, 4542, 2727, 48, 3949, 8028, physics, 19
7921, Hamkako, Ghana, engineering, 6159, 4901, 8978, honours degree, math, 5600, 2698, 7616, 69, 5772, 61, economics, 5
7978, Surkrkku, Mozambique, computer science, 2693, 2271, 2033, honours degree, prob. theory, 720, 10, 4540, 69, 8768, 918, physics, 74
3075, Lolosek, Mozambique, engineering, 1461, 124, 9622, honours degree, economics, 1458, 4672, 9753, 5, 8339, 1538, graph theory, 57
